Länder	0	1	20	40	60	65	80
Baden-Württemberg	84.11	83.36	64.48	44.77	25.86	21.47	9.71
Bayern	83.64	82.85	63.98	44.27	25.45	21.09	9.43
Berlin	83.29	82.50	63.63	43.92	25.26	21.03	9.89
Brandenburg	83.19	82.43	63.58	43.97	25.28	21.00	9.43
Bremen	82.30	81.67	62.84	43.22	24.79	20.69	9.80
Hamburg	83.23	82.50	63.65	43.91	25.16	20.94	9.83
Hessen	83.33	82.55	63.72	44.04	25.24	20.94	9.53
Mecklenburg-Vorpommern	82.79	82.06	63.24	43.61	25.14	20.90	9.41
Niedersachsen	82.93	82.18	63.31	43.65	25.03	20.79	9.48
Nordrhein-Westfalen	82.66	81.93	63.08	43.41	24.78	20.58	9.49
Rheinland-Pfalz	83.01	82.26	63.40	43.72	25.06	20.80	9.43
Saarland	82.06	81.29	62.44	42.78	24.33	20.16	9.18
Sachsen	83.49	82.69	63.81	44.15	25.43	21.11	9.35
Sachsen-Anhalt	82.28	81.54	62.69	43.11	24.68	20.47	9.14
Schleswig-Holstein	82.91	82.15	63.28	43.62	25.02	20.81	9.54
Thüringen	82.72	81.98	63.17	43.58	24.98	20.70	9.09
Germany	83.18	82.42	63.56	43.88	25.18	20.90	9.49
