Länder	0	1	20	40	60	65	80
Baden-Württemberg	79.72	78.96	60.13	40.64	22.42	18.43	8.25
Bayern	79.11	78.35	59.55	40.13	21.97	18.01	8.01
Berlin	78.11	77.35	58.51	39.05	21.24	17.54	8.28
Brandenburg	77.24	76.50	57.69	38.41	20.77	17.13	7.78
Bremen	76.93	76.24	57.40	38.11	20.86	17.35	8.25
Hamburg	78.57	77.84	59.01	39.52	21.56	17.78	8.36
Hessen	78.87	78.14	59.35	39.91	21.83	17.92	8.07
Mecklenburg-Vorpommern	76.68	75.88	57.12	37.92	20.65	17.10	7.74
Niedersachsen	78.05	77.34	58.55	39.22	21.41	17.60	7.95
Nordrhein-Westfalen	78.10	77.38	58.55	39.13	21.26	17.44	7.92
Rheinland-Pfalz	78.54	77.82	59.00	39.58	21.61	17.73	7.99
Saarland	77.22	76.47	57.73	38.43	20.73	16.90	7.64
Sachsen	77.27	76.44	57.61	38.27	20.73	17.10	7.80
Sachsen-Anhalt	75.78	75.08	56.31	37.14	19.99	16.47	7.44
Schleswig-Holstein	78.41	77.66	58.86	39.51	21.61	17.79	8.13
Thüringen	76.94	76.17	57.36	38.02	20.55	16.90	7.51
Germany	78.33	77.58	58.77	39.37	21.46	17.63	7.97
