Länder	0	1	20	40	60	65	80
Baden-Württemberg	79.92	79.18	60.38	40.90	22.62	18.60	8.36
Bayern	79.34	78.59	59.80	40.37	22.16	18.15	8.08
Berlin	78.37	77.62	58.81	39.35	21.39	17.62	8.31
Brandenburg	77.66	76.93	58.13	38.83	21.10	17.40	8.00
Bremen	76.74	76.17	57.45	38.13	20.74	17.11	7.97
Hamburg	78.41	77.73	58.97	39.47	21.38	17.59	8.14
Hessen	78.88	78.16	59.38	39.96	21.84	17.91	8.01
Mecklenburg-Vorpommern	76.53	75.81	57.02	37.87	20.53	16.93	7.68
Niedersachsen	77.96	77.25	58.48	39.17	21.31	17.47	7.84
Nordrhein-Westfalen	78.13	77.40	58.61	39.21	21.30	17.44	7.88
Rheinland-Pfalz	78.60	77.88	59.07	39.67	21.60	17.66	7.85
Saarland	77.38	76.69	57.97	38.55	20.91	17.10	7.66
Sachsen	78.04	77.23	58.40	39.05	21.37	17.67	8.27
Sachsen-Anhalt	75.93	75.19	56.45	37.35	20.13	16.56	7.58
Schleswig-Holstein	78.34	77.59	58.79	39.41	21.45	17.61	7.94
Thüringen	77.38	76.65	57.92	38.57	20.97	17.25	7.82
Germany	78.47	77.73	58.94	39.55	21.58	17.71	8.00
