,2019,2019_color,2020,2020_color,2021,2021_color
Архангельская область,72.34,#deff00,71.35,#deff00,69.6,#f9e600
Архангельская область (кроме Ненецкого автономного округа),72.3,#deff00,71.39,#deff00,69.6,#f9e600
Ненецкий автономный округ (Архангельская область),73.19,#9ad100,70.4,#deff00,69.39,#f9e600
Тюменская область,74.04,#9ad100,72.24,#deff00,71.26,#deff00
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),72.75,#9ad100,71.34,#deff00,70.14,#deff00
Ханты-Мансийский автономный округ - Югра (Тюменская область),75.04,#5baf00,72.87,#9ad100,72.01,#deff00
Ямало-Ненецкий автономный округ (Тюменская область),74.18,#9ad100,71.91,#deff00,71.7,#deff00
