,2019,2019_color,2020,2020_color,2021,2021_color
Дальневосточный федеральный округ,70.22,#deff00,69.15,#f9e600,68.06,#f9e600
Сибирский федеральный округ,71.12,#deff00,69.6,#f9e600,68.3,#f9e600
Уральский федеральный округ,72.52,#9ad100,70.81,#deff00,69.61,#f9e600
Приволжский федеральный округ,72.94,#9ad100,70.83,#deff00,69.5,#f9e600
Россия в среднем,73.34,#9ad100,71.54,#deff00,70.06,#deff00
Северо-Западный федеральный округ,73.72,#9ad100,72.02,#deff00,70.37,#deff00
Южный федеральный округ,73.73,#9ad100,72.09,#deff00,70.21,#deff00
Центральный федеральный округ,74.54,#9ad100,72.57,#9ad100,70.85,#deff00
Северо-Кавказский федеральный округ,76.64,#5baf00,74.58,#9ad100,73.79,#9ad100
