"Category","Life expectancy"
"Limburg",83.8098
"Vlaams-Brabant",83.6502
"Oost-Vlaanderen",83.1077
"Antwerpen",83.0889
"West-Vlaanderen",82.9808
"Brabant Wallon",82.9651
"Luxembourg",80.6341
"Namur",80.6159
"Liege",80.4712
"Hainaut",79.6284
