"Category","Life expectancy"
"Limburg",82.0387
"Vlaams-Brabant",81.7151
"Antwerpen",81.3317
"Oost-Vlaanderen",81.0913
"West-Vlaanderen",80.8823
"Brabant Wallon",80.8268
"Liege",78.3652
"Namur",78.3374
"Luxembourg",78.2577
"Hainaut",76.8957
