,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
USA,69.7707317073171,70.2707317073171,70.119512195122,69.9170731707317,70.1658536585366,70.2146341463415,70.2121951219512,70.5609756097561,69.9512195121951,70.5073170731708,70.8073170731707,71.1073170731707,71.1560975609756,71.3560975609756,71.9560975609756,72.6048780487805,72.8560975609756,73.2560975609756,73.3560975609756,73.8048780487805,73.609756097561,74.009756097561,74.3609756097561,74.4634146341463,74.5634146341464,74.5634146341464,74.6146341463415,74.7658536585366,74.7658536585366,75.0170731707317,75.2146341463415,75.3658536585366,75.6170731707317,75.419512195122,75.619512195122,75.6219512195122,76.0268292682927,76.4292682926829,76.5804878048781,76.5829268292683,76.6365853658537,76.8365853658537,76.9365853658537,77.0365853658537,77.4878048780488,77.4878048780488,77.6878048780488,77.9878048780488,78.0390243902439,78.390243902439,78.5414634146342,78.6414634146341,78.7414634146342,78.7414634146342,78.8414634146341,78.690243902439,78.5390243902439,78.5390243902439,78.6390243902439,78.7878048780488
China,43.725,44.051,44.783,45.972,47.592,49.549,51.696,53.847,55.843,57.603,59.085,60.303,61.344,62.281,63.134,63.915,64.631,65.278,65.857,66.377,66.844,67.26,67.627,67.949,68.231,68.473,68.673,68.831,68.954,69.054,69.145,69.242,69.355,69.496,69.67,69.885,70.14,70.428,70.737,71.063,71.397,71.732,72.061,72.381,72.689,72.985,73.271,73.553,73.835,74.119,74.409,74.708,75.013,75.321,75.629,75.928,76.21,76.47,76.704,76.912
Russia,66.0552926829268,66.5970243902439,67.0214146341464,67.3399024390244,67.566512195122,67.7188536585366,67.812512195122,67.8601463414634,67.8743414634146,67.8671219512195,68.1336585365854,68.3765853658537,68.3085365853659,68.2946341463415,68.320243902439,67.7239024390244,67.4875609756098,67.3763414634146,67.3909756097561,67.1143902439024,67.0339024390244,67.2639024390244,67.8060975609756,67.6526829268293,67.2026829268293,67.8568292682927,69.389756097561,69.44,69.4643902439024,69.1717073170732,68.8860975609756,68.4743902439024,66.8731707317073,64.9358536585366,64.4670731707317,64.6907317073171,65.8541463414634,66.6987804878049,67.029756097561,65.9821951219512,65.4836585365854,65.3834146341463,65.1287804878049,65.0275609756098,65.4709756097561,65.529756097561,66.7275609756098,67.5868292682927,67.9492682926829,68.6846341463415,68.8412195121951,69.6839024390244,70.0721951219512,70.5787804878049,70.7436585365854,71.1834146341463,71.6512195121951,72.4514634146342,72.6621951219512,73.0839024390244
Ukraine,68.2995365853659,68.7638536585366,69.1460975609756,69.4577073170732,69.7082195121951,69.9056341463415,70.0565365853659,70.1611219512195,70.2230731707317,70.2475609756098,70.2352195121951,70.1826341463415,70.0908536585366,69.9629268292683,69.8088536585366,69.6346341463415,69.4461707317073,69.2534390243902,69.0709024390244,68.9151219512195,68.8178292682927,68.8108292682927,68.901243902439,69.0774878048781,69.3173414634146,69.5747804878049,69.791243902439,70.4951219512195,70.4975609756098,70.5390243902439,70.0975609756098,69.2980487804878,68.7709756097561,68.1307317073171,67.5412195121951,66.7419512195122,67.0224390243903,67.5763414634146,68.3748780487805,67.9809756097561,67.6756097560976,67.8370731707317,68.2756097560976,68.2107317073171,68.1853658536585,67.9568292682927,68.0775609756098,68.2221951219512,68.2514634146342,69.19,70.2653658536586,70.8092682926829,70.9441463414634,71.159512195122,71.1865853658537,71.189512195122,71.4763414634146,71.7809756097561,71.5826829268293,71.8273170731707
