"Life expectancy by sex and period"

"sex"	"1998-2002"	"1999-2003"	"2000-2004"	"2001-2005"	"2002-2006"	"2003-2007"	"2004-2008"	"2005-2009"	"2006-2010"	"2007-2011"	"2008-2012"	"2009-2013"	"2010-2014"	"2011-2015"	"2012-2016"	"2013-2017"	"2014-2018"	"2015-2019"	"2016-2020"	"2017-2021"	"2018-2022"	"2019-2023"	"2020-2024"
"men"	77.30	77.53	77.79	77.99	78.22	78.46	78.70	78.90	79.12	79.34	79.52	79.72	79.93	80.08	80.24	80.41	80.55	80.75	80.80	80.93	81.05	81.21	81.40
"women"	82.00	82.11	82.27	82.41	82.57	82.74	82.88	83.01	83.16	83.32	83.43	83.55	83.69	83.79	83.88	83.99	84.10	84.24	84.29	84.43	84.56	84.69	84.81
