"By province","By age ",2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"By province","By age ",Expectation of life at age (Total) (Years),Expectation of life at age (Male) (Years),Expectation of life at age (Female) (Years),Probability of dying (Total),Probability of dying (Male),Probability of dying (Female),Number of people left alive at age (Total) (Person),Number of people left alive at age (Male) (Person),Number of people left alive at age (Female) (Person),Person-years lived between ages (Total) (Person),Person-years lived between ages (Male) (Person),Person-years lived between ages (Female) (Person)
"Daegu","15",68.6,65.7,71.5,0.00119,0.00092,0.00145,99459,99363,99558,496997,496587,497421
"Daegu","20",63.7,60.8,66.6,0.00198,0.00254,0.00143,99341,99271,99413,496266,495807,496737
"Daegu","25",58.8,55.9,61.7,0.00273,0.00354,0.00192,99144,99019,99271,495011,494251,495784
"Daegu","30",54.0,51.1,56.8,0.00294,0.00323,0.00265,98873,98668,99080,493653,492509,494810
"Daegu","35",49.1,46.3,52.0,0.00399,0.00520,0.00279,98583,98350,98818,491977,490557,493411
"Daegu","40",44.3,41.5,47.1,0.00535,0.00720,0.00352,98189,97839,98542,489769,487635,491916
"Daegu","45",39.5,36.8,42.3,0.00850,0.01135,0.00569,97664,97134,98195,486316,482979,489666
"Daegu","50",34.8,32.2,37.5,0.01108,0.01588,0.00635,96833,96032,97637,481690,476641,486751
"Daegu","55",30.2,27.6,32.7,0.01727,0.02577,0.00900,95761,94507,97017,474906,466823,483001
"Daegu","60",25.7,23.3,28.0,0.02480,0.03726,0.01287,94106,92072,96144,465043,452371,477726
"Daegu","65",21.3,19.1,23.3,0.04038,0.06023,0.02184,91773,88642,94906,450304,430738,469882
"Daegu","70",17.1,15.1,18.8,0.06523,0.09160,0.04156,88066,83302,92833,427123,398800,455456
"Daegu","75",13.1,11.4,14.5,0.11800,0.15896,0.08315,82322,75672,88975,389535,350634,428447
"Daegu","80",9.4,8.1,10.5,0.23880,0.31399,0.18014,72609,63643,81576,323152,271118,375195
"Daegu","85",6.6,5.5,7.2,0.41938,0.51068,0.35978,55269,43660,66881,219255,161630,276886
"Daegu","90",4.5,3.7,4.8,0.62497,0.71585,0.57962,32091,21364,42818,106999,64316,149685
"Daegu","95",3.0,2.5,3.2,0.80546,0.87324,0.78260,12035,6071,18000,31670,13951,49390
"Daegu","100",2.1,1.8,2.2,1.00000,1.00000,1.00000,2341,770,3913,4965,1347,8583
"Incheon","0 ",83.1,80.1,86.1,0.00340,0.00375,0.00304,100000,100000,100000,99723,99686,99763
"Incheon","1",82.4,79.4,85.4,0.00067,0.00058,0.00076,99660,99625,99696,398488,398339,398644
"Incheon","5",78.4,75.4,81.4,0.00047,0.00072,0.00023,99593,99568,99620,497826,497652,498009
"Incheon","10",73.5,70.5,76.4,0.00058,0.00057,0.00059,99546,99496,99597,497629,497376,497891
"Incheon","15",68.5,65.5,71.5,0.00146,0.00199,0.00093,99488,99439,99538,497083,496738,497438
"Incheon","20",63.6,60.6,66.5,0.00194,0.00264,0.00124,99343,99241,99446,496252,495558,496955
"Incheon","25",58.7,55.8,61.6,0.00232,0.00292,0.00172,99150,98978,99322,495173,494173,496181
"Incheon","30",53.8,50.9,56.7,0.00271,0.00316,0.00227,98919,98689,99151,493947,492699,495204
"Incheon","35",49.0,46.1,51.8,0.00368,0.00458,0.00279,98651,98378,98926,492399,490832,493975
"Incheon","40",44.2,41.3,47.0,0.00621,0.00766,0.00477,98288,97927,98650,490027,487911,492151
"Incheon","45",39.4,36.6,42.2,0.00869,0.01082,0.00657,97678,97178,98179,486399,483487,489320
"Incheon","50",34.7,32.0,37.5,0.01185,0.01682,0.00696,96829,96126,97534,481404,476707,486109
"Incheon","55",30.1,27.5,32.7,0.01805,0.02662,0.00970,95681,94509,96855,474336,466679,482001
"Incheon","60",25.6,23.1,28.0,0.02578,0.03704,0.01499,93954,91994,95916,464096,451978,476223
"Incheon","65",21.2,18.9,23.4,0.04091,0.06031,0.02273,91532,88586,94478,449051,430656,467454
"Incheon","70",17.0,15.0,18.9,0.07009,0.10219,0.04115,87787,83244,92331,424694,396044,453350
"Incheon","75",13.1,11.4,14.6,0.12451,0.17350,0.08315,81633,74737,88531,385122,343835,426416
"Incheon","80",9.6,8.2,10.6,0.23862,0.31124,0.18336,71469,61770,81170,317193,262381,372010
"Incheon","85",6.7,5.7,7.4,0.40531,0.49078,0.35045,54415,42544,66286,217991,159958,276027
"Incheon","90",4.6,3.9,5.0,0.60959,0.69401,0.56710,32360,21665,43056,109553,66931,152177
"Incheon","95",3.1,2.7,3.3,0.79259,0.85540,0.77025,12634,6629,18639,33959,15839,52079
"Incheon","100",2.2,1.9,2.3,1.00000,1.00000,1.00000,2620,959,4282,5748,1783,9713
"Gwangju","0 ",83.1,80.3,86.0,0.00392,0.00432,0.00350,100000,100000,100000,99682,99638,99727
"Gwangju","1",82.5,79.6,85.3,0.00061,0.00074,0.00048,99608,99568,99650,398322,398147,398504
"Gwangju","5",78.5,75.7,81.3,0.00064,0.00111,0.00018,99548,99495,99602,497557,497160,497963
"Gwangju","10",73.6,70.8,76.4,0.00031,0.00049,0.00014,99484,99385,99584,497350,496805,497905
"Gwangju","15",68.6,65.8,71.4,0.00069,0.00041,0.00096,99453,99337,99571,497130,496600,497670
