"12an -- Life expectancy at birth by sex and region, 1990-1992 -- 2022-2024"

"Year"	"Region"	"Total Life expectancy at birth, years"	"Males Life expectancy at birth, years"	"Females Life expectancy at birth, years"
"2013-2015"	"MK07 Päijät-Häme"	80.83	78.11	83.38
"2013-2015"	"MK08 Kymenlaakso"	80.07	76.88	83.35
"2013-2015"	"MK09 South Karelia"	80.14	76.48	84.09
"2013-2015"	"MK10 South Savo"	79.76	76.35	83.31
"2013-2015"	"MK11 North Savo"	79.98	76.56	83.60
"2013-2015"	"MK12 North Karelia"	80.11	77.33	82.99
"2013-2015"	"MK13 Central Finland"	80.94	78.13	83.78
"2013-2015"	"MK14 South Ostrobothnia"	81.29	78.22	84.47
"2013-2015"	"MK15 Ostrobothnia"	82.73	80.16	85.31
"2013-2015"	"MK16 Central Ostrobothnia"	81.75	78.53	85.05
"2013-2015"	"MK17 North Ostrobothnia"	81.33	78.36	84.40
"2013-2015"	"MK18 Kainuu"	79.85	76.52	83.43
"2013-2015"	"MK19 Lapland"	80.53	77.71	83.48
"2013-2015"	"MA2 ÅLAND"	82.56	80.30	84.82
"2013-2015"	"MK21 Åland"	82.56	80.30	84.82
"2014-2016"	"WHOLE COUNTRY"	81.24	78.38	84.04
"2014-2016"	"MA1 MAINLAND FINLAND"	81.24	78.37	84.05
"2014-2016"	"MK01 Uusimaa"	81.68	78.94	84.14
"2014-2016"	"MK02 Southwest Finland"	81.64	78.83	84.34
"2014-2016"	"MK04 Satakunta"	80.72	78.04	83.43
"2014-2016"	"MK05 Kanta-Häme"	81.17	78.30	83.97
"2014-2016"	"MK06 Pirkanmaa"	81.50	78.57	84.35
"2014-2016"	"MK07 Päijät-Häme"	80.91	78.21	83.44
"2014-2016"	"MK08 Kymenlaakso"	80.26	77.17	83.40
"2014-2016"	"MK09 South Karelia"	80.30	77.05	83.75
"2014-2016"	"MK10 South Savo"	79.89	76.51	83.44
"2014-2016"	"MK11 North Savo"	80.43	77.21	83.81
"2014-2016"	"MK12 North Karelia"	80.11	77.35	83.00
"2014-2016"	"MK13 Central Finland"	80.92	78.12	83.77
"2014-2016"	"MK14 South Ostrobothnia"	81.29	78.15	84.56
"2014-2016"	"MK15 Ostrobothnia"	82.97	80.41	85.54
"2014-2016"	"MK16 Central Ostrobothnia"	82.24	79.73	84.71
"2014-2016"	"MK17 North Ostrobothnia"	81.57	78.68	84.53
"2014-2016"	"MK18 Kainuu"	80.29	76.90	83.98
"2014-2016"	"MK19 Lapland"	80.57	77.71	83.65
"2014-2016"	"MA2 ÅLAND"	82.12	80.07	84.08
"2014-2016"	"MK21 Åland"	82.12	80.07	84.08
"2015-2017"	"WHOLE COUNTRY"	81.38	78.55	84.15
"2015-2017"	"MA1 MAINLAND FINLAND"	81.38	78.55	84.16
"2015-2017"	"MK01 Uusimaa"	81.80	79.05	84.28
"2015-2017"	"MK02 Southwest Finland"	81.66	78.82	84.42
"2015-2017"	"MK04 Satakunta"	80.81	78.07	83.58
"2015-2017"	"MK05 Kanta-Häme"	81.52	78.81	84.16
"2015-2017"	"MK06 Pirkanmaa"	81.70	78.91	84.40
"2015-2017"	"MK07 Päijät-Häme"	81.04	78.56	83.34
"2015-2017"	"MK08 Kymenlaakso"	80.41	77.30	83.57
"2015-2017"	"MK09 South Karelia"	80.49	77.49	83.57
"2015-2017"	"MK10 South Savo"	80.13	76.80	83.62
"2015-2017"	"MK11 North Savo"	80.81	77.79	83.96
"2015-2017"	"MK12 North Karelia"	80.36	77.34	83.58
"2015-2017"	"MK13 Central Finland"	81.24	78.38	84.14
"2015-2017"	"MK14 South Ostrobothnia"	81.55	78.47	84.74
"2015-2017"	"MK15 Ostrobothnia"	82.78	80.30	85.29
"2015-2017"	"MK16 Central Ostrobothnia"	82.45	80.58	84.20
"2015-2017"	"MK17 North Ostrobothnia"	81.66	78.81	84.59
"2015-2017"	"MK18 Kainuu"	80.11	76.58	84.00
"2015-2017"	"MK19 Lapland"	80.58	77.70	83.70
"2015-2017"	"MA2 ÅLAND"	82.35	80.17	84.53
"2015-2017"	"MK21 Åland"	82.35	80.17	84.53
"2016-2018"	"WHOLE COUNTRY"	81.46	78.68	84.20
"2016-2018"	"MA1 MAINLAND FINLAND"	81.46	78.67	84.21
"2016-2018"	"MK01 Uusimaa"	81.98	79.24	84.46
"2016-2018"	"MK02 Southwest Finland"	81.75	79.07	84.35
"2016-2018"	"MK04 Satakunta"	80.84	78.15	83.56
"2016-2018"	"MK05 Kanta-Häme"	81.64	78.88	84.36
"2016-2018"	"MK06 Pirkanmaa"	81.83	79.00	84.59
"2016-2018"	"MK07 Päijät-Häme"	80.82	78.14	83.39
"2016-2018"	"MK08 Kymenlaakso"	80.47	77.50	83.48
"2016-2018"	"MK09 South Karelia"	80.81	77.89	83.79
"2016-2018"	"MK10 South Savo"	80.22	77.23	83.34
"2016-2018"	"MK11 North Savo"	80.92	77.93	84.04
"2016-2018"	"MK12 North Karelia"	80.34	77.18	83.78
"2016-2018"	"MK13 Central Finland"	81.12	78.23	84.08
"2016-2018"	"MK14 South Ostrobothnia"	81.82	78.92	84.78
"2016-2018"	"MK15 Ostrobothnia"	82.88	80.59	85.18
"2016-2018"	"MK16 Central Ostrobothnia"	82.23	80.22	84.18
"2016-2018"	"MK17 North Ostrobothnia"	81.61	78.92	84.37
"2016-2018"	"MK18 Kainuu"	80.31	76.79	84.22
"2016-2018"	"MK19 Lapland"	80.45	77.57	83.59
"2016-2018"	"MA2 ÅLAND"	82.58	80.24	84.91
"2016-2018"	"MK21 Åland"	82.58	80.24	84.91
"2017-2019"	"WHOLE COUNTRY"	81.65	78.92	84.34
"2017-2019"	"MA1 MAINLAND FINLAND"	81.65	78.91	84.34
"2017-2019"	"MK01 Uusimaa"	82.17	79.45	84.63
"2017-2019"	"MK02 Southwest Finland"	81.97	79.29	84.55
"2017-2019"	"MK04 Satakunta"	80.92	78.15	83.73
"2017-2019"	"MK05 Kanta-Häme"	81.72	78.73	84.73
"2017-2019"	"MK06 Pirkanmaa"	82.12	79.44	84.68
"2017-2019"	"MK07 Päijät-Häme"	80.97	78.32	83.50
"2017-2019"	"MK08 Kymenlaakso"	80.41	77.47	83.40
"2017-2019"	"MK09 South Karelia"	80.90	77.83	84.05
"2017-2019"	"MK10 South Savo"	80.39	77.45	83.46
"2017-2019"	"MK11 North Savo"	81.03	78.17	83.99
"2017-2019"	"MK12 North Karelia"	80.32	77.15	83.79
"2017-2019"	"MK13 Central Finland"	81.48	78.65	84.37
"2017-2019"	"MK14 South Ostrobothnia"	82.08	79.26	84.96
"2017-2019"	"MK15 Ostrobothnia"	82.95	80.84	85.10
"2017-2019"	"MK16 Central Ostrobothnia"	82.58	80.57	84.51
"2017-2019"	"MK17 North Ostrobothnia"	81.82	79.19	84.52
"2017-2019"	"MK18 Kainuu"	80.48	77.30	83.95
"2017-2019"	"MK19 Lapland"	80.70	78.23	83.34
"2017-2019"	"MA2 ÅLAND"	83.48	81.20	85.79
"2017-2019"	"MK21 Åland"	83.48	81.20	85.79
"2018-2020"	"WHOLE COUNTRY"	81.77	79.03	84.47
"2018-2020"	"MA1 MAINLAND FINLAND"	81.76	79.02	84.47
"2018-2020"	"MK01 Uusimaa"	82.18	79.43	84.70
"2018-2020"	"MK02 Southwest Finland"	82.33	79.71	84.86
"2018-2020"	"MK04 Satakunta"	81.01	78.19	83.93
"2018-2020"	"MK05 Kanta-Häme"	81.53	78.56	84.55
"2018-2020"	"MK06 Pirkanmaa"	82.33	79.69	84.87
"2018-2020"	"MK07 Päijät-Häme"	81.18	78.33	83.93
"2018-2020"	"MK08 Kymenlaakso"	80.44	77.58	83.36
"2018-2020"	"MK09 South Karelia"	80.88	77.73	84.16
"2018-2020"	"MK10 South Savo"	80.56	77.72	83.53
"2018-2020"	"MK11 North Savo"	81.08	78.24	84.05
"2018-2020"	"MK12 North Karelia"	80.41	77.30	83.81
"2018-2020"	"MK13 Central Finland"	81.64	78.83	84.53
"2018-2020"	"MK14 South Ostrobothnia"	82.16	79.49	84.90
"2018-2020"	"MK15 Ostrobothnia"	83.25	81.13	85.40
"2018-2020"	"MK16 Central Ostrobothnia"	82.51	79.90	85.17
"2018-2020"	"MK17 North Ostrobothnia"	81.93	79.21	84.75
"2018-2020"	"MK18 Kainuu"	80.64	77.77	83.74
"2018-2020"	"MK19 Lapland"	80.84	78.42	83.42
"2018-2020"	"MA2 ÅLAND"	83.27	80.80	85.89
"2018-2020"	"MK21 Åland"	83.27	80.80	85.89
"2019-2021"	"WHOLE COUNTRY"	81.83	79.11	84.54
"2019-2021"	"MA1 MAINLAND FINLAND"	81.83	79.10	84.53
"2019-2021"	"MK01 Uusimaa"	82.15	79.41	84.68
"2019-2021"	"MK02 Southwest Finland"	82.35	79.59	85.05
"2019-2021"	"MK04 Satakunta"	81.04	78.07	84.15
"2019-2021"	"MK05 Kanta-Häme"	81.64	78.78	84.52
"2019-2021"	"MK06 Pirkanmaa"	82.51	80.04	84.85
"2019-2021"	"MK07 Päijät-Häme"	81.20	78.40	83.94
"2019-2021"	"MK08 Kymenlaakso"	80.47	77.39	83.71
"2019-2021"	"MK09 South Karelia"	80.90	77.96	83.92
"2019-2021"	"MK10 South Savo"	80.85	77.85	84.03
"2019-2021"	"MK11 North Savo"	81.06	78.26	83.97
"2019-2021"	"MK12 North Karelia"	80.67	77.69	83.91
"2019-2021"	"MK13 Central Finland"	81.93	79.23	84.68
"2019-2021"	"MK14 South Ostrobothnia"	82.25	79.62	84.95
"2019-2021"	"MK15 Ostrobothnia"	83.27	81.24	85.35
"2019-2021"	"MK16 Central Ostrobothnia"	82.55	80.08	85.10
"2019-2021"	"MK17 North Ostrobothnia"	81.93	79.16	84.84
"2019-2021"	"MK18 Kainuu"	80.45	77.89	83.20
"2019-2021"	"MK19 Lapland"	81.13	78.50	83.95
"2019-2021"	"MA2 ÅLAND"	83.75	81.28	86.30
"2019-2021"	"MK21 Åland"	83.75	81.28	86.30
"2020-2022"	"WHOLE COUNTRY"	81.60	78.93	84.28
"2020-2022"	"MA1 MAINLAND FINLAND"	81.60	78.92	84.28
"2020-2022"	"MK01 Uusimaa"	81.91	79.23	84.39
"2020-2022"	"MK02 Southwest Finland"	82.14	79.50	84.74
"2020-2022"	"MK04 Satakunta"	80.65	77.83	83.62
"2020-2022"	"MK05 Kanta-Häme"	81.69	79.09	84.30
"2020-2022"	"MK06 Pirkanmaa"	82.18	79.75	84.52
"2020-2022"	"MK07 Päijät-Häme"	81.07	78.40	83.68
"2020-2022"	"MK08 Kymenlaakso"	80.50	77.49	83.69
"2020-2022"	"MK09 South Karelia"	81.07	78.02	84.28
"2020-2022"	"MK10 South Savo"	80.46	77.49	83.62
"2020-2022"	"MK11 North Savo"	80.85	77.95	83.91
"2020-2022"	"MK12 North Karelia"	80.82	77.92	83.97
"2020-2022"	"MK13 Central Finland"	81.53	78.74	84.42
"2020-2022"	"MK14 South Ostrobothnia"	81.83	79.24	84.49
"2020-2022"	"MK15 Ostrobothnia"	83.10	81.05	85.21
"2020-2022"	"MK16 Central Ostrobothnia"	82.32	79.85	84.90
"2020-2022"	"MK17 North Ostrobothnia"	81.66	78.98	84.47
"2020-2022"	"MK18 Kainuu"	79.95	77.47	82.63
"2020-2022"	"MK19 Lapland"	80.98	78.16	84.06
"2020-2022"	"MA2 ÅLAND"	83.47	81.17	85.84
"2020-2022"	"MK21 Åland"	83.47	81.17	85.84
"2021-2023"	"WHOLE COUNTRY"	81.52	78.91	84.14
"2021-2023"	"MA1 MAINLAND FINLAND"	81.51	78.89	84.14
"2021-2023"	"MK01 Uusimaa"	81.94	79.38	84.30
"2021-2023"	"MK02 Southwest Finland"	81.94	79.26	84.60
"2021-2023"	"MK04 Satakunta"	80.48	77.73	83.36
"2021-2023"	"MK05 Kanta-Häme"	81.58	79.12	84.04
"2021-2023"	"MK06 Pirkanmaa"	81.90	79.41	84.34
"2021-2023"	"MK07 Päijät-Häme"	80.77	77.99	83.55
"2021-2023"	"MK08 Kymenlaakso"	80.59	77.43	84.00
"2021-2023"	"MK09 South Karelia"	81.15	78.28	84.21
"2021-2023"	"MK10 South Savo"	80.48	77.71	83.45
"2021-2023"	"MK11 North Savo"	80.81	77.92	83.84
"2021-2023"	"MK12 North Karelia"	80.92	78.08	83.98
"2021-2023"	"MK13 Central Finland"	81.27	78.54	84.11
"2021-2023"	"MK14 South Ostrobothnia"	81.38	78.86	83.99
"2021-2023"	"MK15 Ostrobothnia"	83.05	80.86	85.33
"2021-2023"	"MK16 Central Ostrobothnia"	82.27	80.40	84.13
"2021-2023"	"MK17 North Ostrobothnia"	81.61	79.16	84.17
"2021-2023"	"MK18 Kainuu"	79.87	77.11	82.97
"2021-2023"	"MK19 Lapland"	80.83	78.16	83.72
"2021-2023"	"MA2 ÅLAND"	84.04	81.77	86.44
"2021-2023"	"MK21 Åland"	84.04	81.77	86.44
"2022-2024"	"WHOLE COUNTRY"	81.65	79.07	84.24
"2022-2024"	"MA1 MAINLAND FINLAND"	81.64	79.06	84.24
"2022-2024"	"MK01 Uusimaa"	82.15	79.69	84.41
"2022-2024"	"MK02 Southwest Finland"	81.98	79.35	84.58
"2022-2024"	"MK04 Satakunta"	80.67	77.81	83.68
"2022-2024"	"MK05 Kanta-Häme"	81.84	79.39	84.32
"2022-2024"	"MK06 Pirkanmaa"	81.84	79.22	84.42
"2022-2024"	"MK07 Päijät-Häme"	80.84	78.19	83.47
"2022-2024"	"MK08 Kymenlaakso"	80.82	77.79	84.05
"2022-2024"	"MK09 South Karelia"	81.45	78.44	84.67
"2022-2024"	"MK10 South Savo"	80.69	78.04	83.51
"2022-2024"	"MK11 North Savo"	81.07	78.20	84.07
"2022-2024"	"MK12 North Karelia"	80.94	77.99	84.14
"2022-2024"	"MK13 Central Finland"	81.43	78.52	84.48
"2022-2024"	"MK14 South Ostrobothnia"	81.16	78.74	83.68
"2022-2024"	"MK15 Ostrobothnia"	83.12	80.91	85.45
"2022-2024"	"MK16 Central Ostrobothnia"	82.22	80.51	83.91
"2022-2024"	"MK17 North Ostrobothnia"	81.77	79.32	84.33
"2022-2024"	"MK18 Kainuu"	80.18	77.24	83.56
"2022-2024"	"MK19 Lapland"	80.84	78.57	83.27
"2022-2024"	"MA2 ÅLAND"	83.73	81.40	86.12
"2022-2024"	"MK21 Åland"	83.73	81.40	86.12
